datetime,Close,Pos,Account,AccountCum,Openorder,Closeorder
2012/10/18,1434.0,0.0,0.0,1434.0,0,0
2012/10/19,1434.0,0.0,0.0,1434.0,0,0
2012/10/22,1434.0,0.0,0.0,1434.0,0,0
2012/10/23,1434.0,0.0,0.0,1434.0,0,0
2012/10/24,1434.0,0.0,0.0,1434.0,0,0
2012/10/25,1434.0,0.0,0.0,1434.0,0,0
2012/10/26,1434.0,0.0,0.0,1434.0,0,0
2012/10/29,1434.0,0.0,0.0,1434.0,0,0
2012/10/30,1434.0,0.0,0.0,1434.0,0,0
2012/10/31,1434.0,0.0,0.0,1434.0,0,0
2012/11/1,1434.0,0.0,0.0,1434.0,0,0
2012/11/2,1434.0,0.0,0.0,1434.0,0,0
2012/11/5,1434.0,0.0,0.0,1434.0,0,0
2012/11/6,1434.0,0.0,0.0,1434.0,0,0
2012/11/7,1434.0,0.0,0.0,1434.0,0,0
2012/11/8,1434.0,0.0,0.0,1434.0,0,0
2012/11/9,1434.0,0.0,0.0,1434.0,0,0
2012/11/12,1434.0,0.0,0.0,1434.0,0,0
2012/11/13,1434.0,0.0,0.0,1434.0,0,0
2012/11/14,1434.0,0.0,0.0,1434.0,0,0
2012/11/15,1434.0,0.0,0.0,1434.0,0,0
2012/11/16,1434.0,0.0,0.0,1434.0,0,0
2012/11/19,1570.0,0.0,0.0,1434.0,0,0
2012/11/20,1570.0,0.0,0.0,1434.0,0,0
2012/11/21,1570.0,0.0,0.0,1434.0,0,0
2012/11/22,1570.0,0.0,0.0,1434.0,0,0
2012/11/23,1570.0,0.0,0.0,1434.0,0,0
2012/11/26,1570.0,0.0,0.0,1434.0,0,0
2012/11/27,1570.0,0.0,0.0,1434.0,0,0
2012/11/28,1570.0,0.0,0.0,1434.0,0,0
2012/11/29,1570.0,0.0,0.0,1434.0,0,0
2012/11/30,1570.0,0.0,0.0,1434.0,0,0
2012/12/3,1570.0,0.0,0.0,1434.0,0,0
2012/12/4,1570.0,0.0,0.0,1434.0,0,0
2012/12/5,1570.0,0.0,0.0,1434.0,0,0
2012/12/6,1570.0,0.0,0.0,1434.0,0,0
2012/12/7,1570.0,0.0,0.0,1434.0,0,0
2012/12/10,1570.0,0.0,0.0,1434.0,0,0
2012/12/11,1570.0,0.0,0.0,1434.0,0,0
2012/12/12,1570.0,0.0,0.0,1434.0,0,0
2012/12/13,1570.0,0.0,0.0,1434.0,0,0
2012/12/14,1570.0,0.0,0.0,1434.0,0,0
2012/12/17,1616.0,0.0,0.0,1434.0,0,0
2012/12/18,1618.0,0.0,0.0,1434.0,0,0
2012/12/19,1610.0,0.0,0.0,1434.0,0,0
2012/12/20,1614.0,0.0,0.0,1434.0,0,0
2012/12/21,1609.0,0.0,0.0,1434.0,0,0
2012/12/24,1612.0,0.0,0.0,1434.0,0,0
2012/12/25,1601.0,0.0,0.0,1434.0,0,0
2012/12/26,1593.0,0.0,0.0,1434.0,0,0
2012/12/27,1593.0,0.0,0.0,1434.0,0,0
2012/12/28,1582.0,0.0,0.0,1434.0,0,0
2012/12/31,1559.0,0.0,0.0,1434.0,0,0
2013/1/4,1618.0,0.0,0.0,1434.0,0,0
2013/1/7,1680.0,0.0,0.0,1434.0,0,0
2013/1/8,1680.0,0.0,0.0,1434.0,0,0
2013/1/9,1760.0,0.0,0.0,1434.0,0,0
2013/1/10,1680.0,0.0,0.0,1434.0,0,0
2013/1/11,1685.0,0.0,0.0,1434.0,0,0
2013/1/14,1685.0,0.0,0.0,1434.0,0,0
2013/1/15,1685.0,0.0,0.0,1434.0,0,0
2013/1/16,1600.0,1.0,-80.0,1354.0,"{'Vol': 1, 'Openpos': 1680.0, 'Type': 1, 'Time': '2013/1/16'}","{'Vol': 1, 'Closepos': 1600.0, 'Type': -1, 'Time': '2013/1/16'}"
2013/1/17,1630.0,1.0,45.0,1399.0,"{'Vol': 1, 'Openpos': 1585.0, 'Type': 1, 'Time': '2013/1/17'}","{'Vol': 1, 'Closepos': 1630.0, 'Type': -1, 'Time': '2013/1/17'}"
2013/1/18,1700.0,-1.0,-23.0,1376.0,"{'Vol': 1, 'Openpos': 1677.0, 'Type': -1, 'Time': '2013/1/18'}","{'Vol': 1, 'Closepos': 1700.0, 'Type': 1, 'Time': '2013/1/18'}"
2013/1/21,1700.0,0.0,0.0,1376.0,0,0
2013/1/22,1700.0,0.0,0.0,1376.0,0,0
2013/1/23,1700.0,0.0,0.0,1376.0,0,0
2013/1/24,1639.0,1.0,0.0,1376.0,"{'Vol': 1, 'Openpos': 1639.0, 'Type': 1, 'Time': '2013/1/24'}","{'Vol': 1, 'Closepos': 1639.0, 'Type': -1, 'Time': '2013/1/24'}"
2013/1/25,1639.0,0.0,0.0,1376.0,0,0
2013/1/28,1639.0,-1.0,56.0,1432.0,"{'Vol': 1, 'Openpos': 1695.0, 'Type': -1, 'Time': '2013/1/28'}","{'Vol': 1, 'Closepos': 1639.0, 'Type': 1, 'Time': '2013/1/28'}"
2013/1/29,1639.0,0.0,0.0,1432.0,0,0
2013/1/30,1639.0,0.0,0.0,1432.0,0,0
2013/1/31,1639.0,0.0,0.0,1432.0,0,0
2013/2/1,1639.0,0.0,0.0,1432.0,0,0
2013/2/4,1639.0,0.0,0.0,1432.0,0,0
2013/2/5,1639.0,0.0,0.0,1432.0,0,0
2013/2/6,1639.0,0.0,0.0,1432.0,0,0
2013/2/7,1639.0,0.0,0.0,1432.0,0,0
2013/2/8,1639.0,0.0,0.0,1432.0,0,0
2013/2/18,1639.0,0.0,0.0,1432.0,0,0
2013/2/19,1639.0,0.0,0.0,1432.0,0,0
2013/2/20,1639.0,0.0,0.0,1432.0,0,0
2013/2/21,1639.0,0.0,0.0,1432.0,0,0
2013/2/22,1750.0,-1.0,-32.0,1400.0,"{'Vol': 1, 'Openpos': 1718.0, 'Type': -1, 'Time': '2013/2/22'}","{'Vol': 1, 'Closepos': 1750.0, 'Type': 1, 'Time': '2013/2/22'}"
2013/2/25,1750.0,0.0,0.0,1400.0,0,0
2013/2/26,1722.0,-1.0,106.0,1506.0,"{'Vol': 1, 'Openpos': 1828.0, 'Type': -1, 'Time': '2013/2/26'}","{'Vol': 1, 'Closepos': 1722.0, 'Type': 1, 'Time': '2013/2/26'}"
2013/2/27,1722.0,0.0,0.0,1506.0,0,0
2013/2/28,1811.0,-1.0,-0.0,1506.0,"{'Vol': 1, 'Openpos': 1811.0, 'Type': -1, 'Time': '2013/2/28'}","{'Vol': 1, 'Closepos': 1811.0, 'Type': 1, 'Time': '2013/2/28'}"
2013/3/1,1811.0,0.0,0.0,1506.0,0,0
